"","x"
"1",0.0761739993918918
"2",0.073802540336963
"3",0.0750999821611292
"4",0.0787731058916836
"5",0.0714788575603789
"6",0.0720978893267245
"7",0.0796793884143705
"8",0.0725887253541834
"9",0.0805503584256195
"10",0.0700889754987259
"11",0.0930038708477968
"12",0.0832024901660372
"13",0.0791683439680212
"14",0.0757293013866105
"15",0.0789697342792042
"16",0.0806300036285981
"17",0.0827014419454012
"18",0.0761417121544845
"19",0.0844131053433141
"20",0.0761949530118276
"21",0.0943464820516989
"22",0.0773990560519505
"23",0.0854916066135845
"24",0.079522290771784
"25",0.0743959282034417
"26",0.0800553213638409
"27",0.070938312302296
"28",0.0828627972013225
"29",0.0924787097393391
"30",0.0789600671994746
"31",0.0725282704320467
"32",0.0859242937470695
"33",0.0716090104272631
"34",0.0883050515053006
"35",0.067081062091461
"36",0.0750182183853387
"37",0.078571014041148
"38",0.0815296619385264
"39",0.0751898506414076
"40",0.0770372404263815
"41",0.0723255720913613
"42",0.0812278772642033
"43",0.0696848706669451
"44",0.0813876202010791
"45",0.0720089616396832
"46",0.0835080663947307
"47",0.0842854076456139
"48",0.0739373973324177
"49",0.0936913611549384
"50",0.0914592662305688
"51",0.0767281326023523
"52",0.0720169896780005
"53",0.0775818413702945
"54",0.0793774660284721
"55",0.0878799015230545
"56",0.0782450809284365
"57",0.075872119051476
"58",0.0766667235161737
"59",0.072394549900866
"60",0.0848400834576831
"61",0.071202745053175
"62",0.072558336925397
"63",0.0727851266229071
"64",0.0751290163041148
"65",0.0756407229201526
"66",0.0863598923765105
"67",0.0791248720256339
"68",0.0764952514700925
"69",0.0752703325771198
"70",0.0800602906057743
"71",0.0688295632681463
"72",0.0796417853343973
"73",0.0739850350627483
"74",0.07886897838605
"75",0.0828287027941069
"76",0.075819857032775
"77",0.073792676765536
"78",0.0719448786002779
"79",0.0685424482041832
"80",0.0894506248457785
"81",0.0813328934326377
"82",0.0712481391379637
"83",0.0791425490600099
"84",0.0768290312053496
"85",0.0873568099237353
"86",0.0757464492631545
"87",0.0759892233639017
"88",0.0758411088833271
"89",0.076041442144401
"90",0.0728135212309724
"91",0.073733491136496
"92",0.072915673321996
"93",0.0804052398047544
"94",0.0743825697874976
"95",0.0799147806145538
"96",0.0740031893726744
"97",0.0762368542371413
"98",0.0710137621823062
"99",0.0736122677848149
"100",0.0792413274745579
"101",0.0873728549484261
"102",0.0723672720598273
"103",0.0763691155295577
"104",0.0778660701827078
"105",0.0704614970241
"106",0.0775182720345927
"107",0.0724612389976754
"108",0.0774908426703477
"109",0.0823423403365782
"110",0.0860126926401133
"111",0.0935067975935558
"112",0.0934208164973883
"113",0.0669177745707081
"114",0.0724195455713827
"115",0.082370391179527
"116",0.0781282061179849
"117",0.0783700153087158
"118",0.0959028699339699
"119",0.0760600249166509
"120",0.0782013482094249
"121",0.0776591832066915
"122",0.0858462185589463
"123",0.0682783681908509
"124",0.0802966677917113
"125",0.0776388893151591
"126",0.0884017491697439
"127",0.0749023302941891
"128",0.0772488602863632
"129",0.081775508816688
"130",0.0674261612066474
"131",0.0805712618382042
"132",0.0753601192091331
"133",0.0760293964466292
"134",0.0717744977203821
"135",0.0866374656646759
"136",0.0794611178247726
"137",0.084300685727533
"138",0.0850969699403298
"139",0.0784331600773885
"140",0.0742495870628251
"141",0.0729297772443008
"142",0.0780052843305069
"143",0.0840779507124178
"144",0.0783825575445032
"145",0.101219492188205
"146",0.0721430252302011
"147",0.0830114318168879
"148",0.0832340381440531
"149",0.0872559400622694
"150",0.0895732742501294
"151",0.0756124338645282
"152",0.0765940600909495
"153",0.0773679669767666
"154",0.0748824361654812
"155",0.0861743635297552
"156",0.0734663854011094
"157",0.0761638808029156
"158",0.0839988065999211
"159",0.0914385653618997
"160",0.0712545885439334
"161",0.0725089956779324
"162",0.0846760242476014
"163",0.0988666024745167
"164",0.0733449029563097
"165",0.0792227753322579
"166",0.070331111512365
"167",0.0717686901494275
"168",0.0920342733835167
"169",0.0825271032562017
"170",0.0672623056244041
"171",0.0789810182369148
"172",0.0726886766326995
"173",0.0729809747202824
"174",0.0812288481059306
"175",0.0810492951855914
"176",0.0804780166062866
"177",0.0649936082852453
"178",0.0720766325685233
"179",0.0828013122857739
"180",0.0778353559526921
"181",0.0737889920018688
"182",0.0851158360204883
"183",0.0715645177151638
"184",0.0673945035786188
"185",0.0789540638525955
"186",0.0736286327554252
"187",0.0756229528277362
"188",0.0838517669036363
"189",0.0771656484221699
"190",0.0744090784403401
"191",0.0778198633845477
"192",0.0769369707611018
"193",0.0900454626761179
