"","x"
"1",0.163527141540969
"2",0.156829560778397
"3",0.143562456821918
"4",0.153202573712442
"5",0.14082693180286
"6",0.145151456350715
"7",0.136771046865612
"8",0.151049209650118
"9",0.13754367058997
"10",0.140774803544909
"11",0.140110155498288
"12",0.14514487656437
"13",0.147364630583479
"14",0.122777971137673
"15",0.157438919701965
"16",0.153228329437259
"17",0.140014575878539
"18",0.168793806917404
"19",0.126087362926703
"20",0.143961621305352
"21",0.153248912808991
"22",0.133816730840804
"23",0.139643628708735
"24",0.140408192046768
"25",0.147480588840917
"26",0.143414857643342
"27",0.139538503714911
"28",0.138051357927311
"29",0.144314603287072
"30",0.154977592550729
"31",0.150606271241954
"32",0.150169383766629
"33",0.137552931059995
"34",0.144437143596952
"35",0.134861802631494
"36",0.144144928585833
"37",0.131504391857954
"38",0.0951014532653447
"39",0.138338754864177
"40",0.142789399432089
"41",0.139262555452832
"42",0.145646537720097
"43",0.135968699340073
"44",0.132038138170405
"45",0.162085877449932
"46",0.140401044075605
"47",0.135763070818228
"48",0.13621360921377
"49",0.12612549405605
"50",0.121699110692193
"51",0.139615761375023
"52",0.131208220614435
"53",0.152417323329548
"54",0.151099784975266
"55",0.165783210703722
"56",0.157709629548708
"57",0.133866657242662
"58",0.110673006660064
"59",0.141979847982796
"60",0.138753042338067
"61",0.126978899780563
"62",0.132079527403783
"63",0.132820775301039
"64",0.154393189533508
"65",0.129494786562173
"66",0.15049827758705
"67",0.148566245444351
"68",0.158516063565429
"69",0.152965505118676
"70",0.143507160050507
"71",0.156695537299251
"72",0.139165383509911
"73",0.135130915737714
"74",0.128200316059427
"75",0.134530196772669
"76",0.158402075848248
"77",0.159397511621941
"78",0.12974733373908
"79",0.165544777689547
"80",0.146330723742807
"81",0.148728658179495
"82",0.147049301117778
"83",0.134105721195682
"84",0.145796873609768
"85",0.134452893773548
"86",0.138399984435571
"87",0.141712628806927
"88",0.144313332628639
"89",0.157083353356183
"90",0.129591022574261
"91",0.14740441571063
"92",0.152633557105831
"93",0.145095862683214
"94",0.128631004077989
"95",0.158371726090401
"96",0.143674576410941
"97",0.153565715123196
"98",0.143236696346521
"99",0.132989584115248
"100",0.133710225105174
